Wrong silo open during dosing / discharging: silo 17;1
Wrong silo open during dosing / discharging: silo 18;2
Wrong silo open during dosing / discharging: silo 19;3
Wrong silo open during dosing / discharging: silo 20;4
Wrong silo open during dosing / discharging: silo 21;5
Wrong silo open during dosing / discharging: silo 22;6
Wrong silo open during dosing / discharging: silo 23;7
Wrong silo open during dosing / discharging: silo 24;8
Wrong silo open during dosing / discharging: silo 25;9
Wrong silo open during dosing / discharging: silo 26;10
Wrong silo open during dosing / discharging: silo 27;11
Wrong silo open during dosing / discharging: silo 28;12
Wrong silo open during dosing / discharging: silo 29;13
Wrong silo open during dosing / discharging: silo 30;14
Wrong silo open during dosing / discharging: silo 31;15
Wrong silo open during dosing / discharging: silo 32;16