Warning: No air pressure;1
UPS alarm;2
No communication Slave 11: IO;3
No communication Slave 12: IO;4
No communication Slave 13: IO;5
No communication Slave 14: IO;6
No communication Slave 90: Weight signal;7
No communication Slave 95: frequency controller ventilator;8
No communication Slave 96: frequency controller positioning X;9
No communication Slave 97: frequency controller positioning Y;10
No communication Slave 98: frequency controller screws;11
Warning disk space C;12
Alarm disk space C;13
Alarm memory;14
Warning CPU temperature;15
Alarm CPU temperature;16